"ZIP","TotReturns","Adj_AGI","Avg_AGI","Indx"
10001,13300,258282.85,19.42,2.97
10002,43460,288645.52,6.64,1.89
10003,29360,1039011.42,35.39,3.57
10004,2420,264348.01,109.23,4.69
10005,5580,1408851.5,252.48,5.53
10006,2310,78374.21,33.93,3.52
10007,3440,663829.61,192.97,5.26
10009,31920,284443.87,8.91,2.19
10010,17210,675614.2,39.26,3.67
10011,30690,1469898.06,47.9,3.87
10012,12920,421750.73,32.64,3.49
10013,15340,1164387.92,75.91,4.33
10014,19170,953342.59,49.73,3.91
10016,31020,1065760.19,34.36,3.54
10017,11640,1028783.66,88.38,4.48
10018,6070,512381.68,84.41,4.44
10019,24510,1202842.06,49.08,3.89
10021,24030,3116243.87,129.68,4.87
10022,19710,2223963.17,112.83,4.73
10023,34110,2570984.24,75.37,4.32
10024,30870,2111582.74,68.4,4.23
10025,46680,861855.05,18.46,2.92
10026,17590,128764.77,7.32,1.99
10027,26380,188254.45,7.14,1.97
10028,25350,1829058.99,72.15,4.28
10029,33850,249446.77,7.37,2
10030,12920,92753.95,7.18,1.97
10031,28300,200681.21,7.09,1.96
10032,29860,211378.74,7.08,1.96
10033,26530,180623.75,6.81,1.92
10034,20000,138115.5,6.91,1.93
10035,15090,106310.01,7.05,1.95
10036,17740,470210.07,26.51,3.28
10037,10090,77719.3,7.7,2.04
10038,11680,169517.74,14.51,2.67
10039,13100,94798.35,7.24,1.98
10040,21140,147617.12,6.98,1.94
10044,4160,47517.63,11.42,2.44
10065,15680,2257284.28,143.96,4.97
10069,2660,496167.93,186.53,5.23
10075,14170,1261051.12,88.99,4.49
10128,32670,2054185.17,62.88,4.14
10162,720,60060.01,83.42,4.42
10280,4040,178440.88,44.17,3.79
10282,2580,462807.6,179.38,5.19
10301,17180,140694.97,8.19,2.1
10302,7550,55380.84,7.34,1.99
10303,11470,82433.64,7.19,1.97
10304,18730,144550.42,7.72,2.04
10305,18650,158866.21,8.52,2.14
10306,25870,263369.55,10.18,2.32
10307,6180,75309.36,12.19,2.5
10308,13030,150410.5,11.54,2.45
10309,14450,173616.64,12.01,2.49
10310,10970,90118.06,8.21,2.11
10312,28120,334595,11.9,2.48
10314,39230,383417.66,9.77,2.28
10451,21940,164453.37,7.5,2.01
10452,34980,270120.67,7.72,2.04
10453,36080,278266.44,7.71,2.04
10454,14990,113493.37,7.57,2.02
10455,16700,129268.26,7.74,2.05
10456,37900,296247.87,7.82,2.06
10457,30820,235481.41,7.64,2.03
10458,32090,239678.78,7.47,2.01
10459,20620,159610.37,7.74,2.05
10460,24390,184069.74,7.55,2.02
10461,22900,179393.38,7.83,2.06
10462,37600,289274.99,7.69,2.04
10463,32570,255850.65,7.86,2.06
10464,2180,24053.88,11.03,2.4
10465,19250,167141.08,8.68,2.16
10466,31060,228878.35,7.37,2
10467,41710,310441.79,7.44,2.01
10468,34230,254854.75,7.45,2.01
10469,30510,225438.13,7.39,2
10470,7270,55468.6,7.63,2.03
10471,9830,165584.79,16.84,2.82
10472,26740,197164.13,7.37,2
10473,27060,199674.73,7.38,2
10474,4650,36553.94,7.86,2.06
10475,21530,186112.88,8.64,2.16
10501,650,16640.74,25.6,3.24
10502,2870,80346.5,28,3.33
10504,5350,1054988.03,197.19,5.28
10505,530,11563.13,21.82,3.08
10506,2780,419528.89,150.91,5.02
10507,2670,57573.14,21.56,3.07
10509,9680,112339.72,11.61,2.45
10510,4790,356321.63,74.39,4.31
10511,1120,11693.01,10.44,2.35
10512,12220,149679,12.25,2.51
10514,5450,961952.83,176.51,5.17
10516,2710,42519.48,15.69,2.75
10518,750,23180.76,30.91,3.43
10520,6290,134711.03,21.42,3.06
10522,5190,104277.16,20.09,3
10523,4730,45277.82,9.57,2.26
10524,2070,43725.38,21.12,3.05
10526,1040,31152.03,29.95,3.4
10527,450,14161.99,31.47,3.45
10528,5710,219610.06,38.46,3.65
10530,7120,132317.59,18.58,2.92
10532,2610,38557.39,14.77,2.69
10533,3790,206984.38,54.61,4
10535,370,3833.64,10.36,2.34
10536,5330,347628.87,65.22,4.18
10537,1180,11068.29,9.38,2.24
10538,8040,898855.22,111.8,4.72
10541,12180,158398.48,13,2.56
10543,9560,245832.86,25.71,3.25
10546,730,32545.11,44.58,3.8
10547,3560,41682.04,11.71,2.46
10548,1590,19452.65,12.23,2.5
10549,8140,286444.73,35.19,3.56
10550,17780,131884.88,7.42,2
10552,10580,103141.76,9.75,2.28
10553,5480,41795.97,7.63,2.03
10560,2130,97357.62,45.71,3.82
10562,15410,154266.48,10.01,2.3
10566,11970,94969.91,7.93,2.07
10567,9310,155315.57,16.68,2.81
10570,5930,193528.08,32.64,3.49
10573,18930,192946.03,10.19,2.32
10576,2500,212015.99,84.81,4.44
10577,1520,489708.89,322.18,5.78
10578,450,6302.22,14,2.64
10579,4320,60977.71,14.12,2.65
10580,7990,1414762.59,177.07,5.18
10583,18840,2227620.53,118.24,4.77
10588,1280,16162.75,12.63,2.54
10589,4490,89864.38,20.01,3
10590,3180,101783.97,32.01,3.47
10591,11480,159139.62,13.86,2.63
10594,2520,44764.33,17.76,2.88
10595,3150,56824.16,18.04,2.89
10597,520,52773.08,101.49,4.62
10598,14180,263060.33,18.55,2.92
10601,5970,90615.9,15.18,2.72
10603,9720,98219.09,10.1,2.31
10604,5490,81612.93,14.87,2.7
10605,10170,264964.48,26.05,3.26
10606,8100,72020.95,8.89,2.18
10607,3900,47404.65,12.16,2.5
10701,27820,200796.62,7.22,1.98
10703,10070,79886.57,7.93,2.07
10704,16340,146822.16,8.99,2.2
10705,17300,124269.85,7.18,1.97
10706,4400,131565.21,29.9,3.4
10707,5030,77749.71,15.46,2.74
10708,11440,564480.2,49.34,3.9
10709,4730,95376.36,20.16,3
10710,13760,150576.51,10.94,2.39
10801,18070,142893.83,7.91,2.07
10803,5940,297650.12,50.11,3.91
10804,7130,418659.4,58.72,4.07
10805,9120,76998.31,8.44,2.13
10901,11620,169137.84,14.56,2.68
10913,2510,51101.63,20.36,3.01
10916,2130,29793.89,13.99,2.64
10917,1020,12254.9,12.01,2.49
10918,5370,63433.71,11.81,2.47
10919,600,5928.1,9.88,2.29
10920,4430,57842.36,13.06,2.57
10921,2110,23766.12,11.26,2.42
10923,4740,41652.11,8.79,2.17
10924,5830,71545.04,12.27,2.51
10925,2570,25877.45,10.07,2.31
10926,1930,18962.96,9.83,2.29
10927,5900,42155.93,7.15,1.97
10928,2220,18379.52,8.28,2.11
10930,4320,62490.14,14.47,2.67
10931,480,4319.87,9,2.2
10940,22490,175313.18,7.8,2.05
10941,6720,59660.07,8.88,2.18
10950,16630,160197.27,9.63,2.26
10952,12130,121763.25,10.04,2.31
10954,12190,142059.04,11.65,2.46
10956,15880,290947.05,18.32,2.91
10958,1600,16427.11,10.27,2.33
10960,7670,92832.21,12.1,2.49
10962,2510,38100.22,15.18,2.72
10963,1200,11927.03,9.94,2.3
10964,760,27648.63,36.38,3.59
10965,7410,111809.18,15.09,2.71
10968,1250,30326.17,24.26,3.19
10969,600,6837.7,11.4,2.43
10970,5130,56341.44,10.98,2.4
10973,1100,11479.04,10.44,2.35
10974,1510,17716.37,11.73,2.46
10975,160,2301.13,14.38,2.67
10976,810,6969.32,8.6,2.15
10977,24230,176150.66,7.27,1.98
10980,6990,79471.73,11.37,2.43
10983,2900,49128.55,16.94,2.83
10984,1290,18422.57,14.28,2.66
10985,190,2385.34,12.55,2.53
10986,900,11975.95,13.31,2.59
