"","npi","score_spread","score_bene"
"1","1003018102",4,7
"2","1003058652",3,7
"3","1003812454",13,4
"4","1003813247",21,9
"5","1003814682",1,16
"6","1003815432",0,9
"7","1003819343",10,12
"8","1003832726",2,14
"9","1003841446",0,7
"10","1003848714",6,7
"11","1003908831",22,25
"12","1003923038",6,1
"13","1003923509",15,16
"14","1003924192",6,12
"15","1003972548",22,18
"16","1003982976",9,10
"17","1003987512",0,10
"18","1013014406",19,16
"19","1013095272",14,11
"20","1013114040",0,0
"21","1013901024",17,18
"22","1013915057",4,12
"23","1013915974",20,17
"24","1013926567",13,12
"25","1013950351",9,8
"26","1013956796",1,9
"27","1013964469",7,4
"28","1013966027",0,11
"29","1013981836",10,11
"30","1013983923",3,4
"31","1013984681",0,0
"32","1013984723",16,5
"33","1013999697",15,18
"34","1023015054",16,12
"35","1023023777",24,19
"36","1023028966",8,9
"37","1023034428",4,15
"38","1023054350",4,7
"39","1023056512",14,8
"40","1023069846",11,11
"41","1023072949",0,9
"42","1023075066",15,8
"43","1023076437",1,1
"44","1023105608",17,17
"45","1023108115",1,9
"46","1023113339",0,8
"47","1023142742",11,9
"48","1023170636",9,1
"49","1023179108",13,9
"50","1023213071",12,16
"51","1023297892",9,16
"52","1023316429",1,0
"53","1033102322",3,5
"54","1033112487",5,14
"55","1033117999",21,22
"56","1033120175",14,5
"57","1033141726",5,3
"58","1033170675",11,20
"59","1033199450",18,19
"60","1033202429",0,16
"61","1033211925",25,19
"62","1033274279",15,12
"63","1033314257",12,7
"64","1033364476",0,0
"65","1033381983",1,8
"66","1043203995",5,3
"67","1043206469",20,15
"68","1043219900",0,0
"69","1043220262",5,1
"70","1043221765",6,10
"71","1043231921",6,10
"72","1043233901",25,15
"73","1043252273",14,16
"74","1043262686",1,15
"75","1043266935",0,5
"76","1043281371",19,18
"77","1043286412",19,12
"78","1043318595",8,20
"79","1043391477",0,0
"80","1043393481",7,4
"81","1043478415",18,9
"82","1053303073",5,15
"83","1053305276",15,5
"84","1053307272",0,7
"85","1053313767",3,9
"86","1053315416",30,12
"87","1053315762",12,17
"88","1053325563",27,13
"89","1053329342",4,19
"90","1053345520",21,12
"91","1053352658",6,9
"92","1053378109",5,13
"93","1053384800",16,9
"94","1053393009",2,4
"95","1053406314",8,9
"96","1053420299",13,16
"97","1053420398",0,12
"98","1053422477",7,8
"99","1053451286",11,9
"100","1053454652",0,4
"101","1053491456",12,13
"102","1053575100",12,2
"103","1053588632",29,17
"104","1063406981",0,11
"105","1063415420",14,14
"106","1063415537",0,20
"107","1063417566",0,12
"108","1063425460",14,12
"109","1063438414",27,19
"110","1063462133",13,8
"111","1063473387",16,12
"112","1063481208",2,9
"113","1063482990",18,20
"114","1063484277",6,16
"115","1063496834",13,10
"116","1063511665",15,18
"117","1063519775",14,8
"118","1063529501",16,21
"119","1063561439",22,21
"120","1063561744",17,16
"121","1063616472",2,9
"122","1063621357",5,9
"123","1063679462",8,8
"124","1073505665",7,5
"125","1073515847",23,21
"126","1073516027",27,15
"127","1073548434",0,15
"128","1073564506",4,2
"129","1073572236",14,13
"130","1073576773",16,3
"131","1073616959",12,15
"132","1073626388",13,16
"133","1073629994",13,15
"134","1073652202",0,6
"135","1073667093",5,10
"136","1083608186",0,18
"137","1083614226",3,3
"138","1083641609",0,15
"139","1083645154",0,17
"140","1083651947",0,7
"141","1083657126",11,12
"142","1083681001",14,11
"143","1083690739",9,5
"144","1083711766",20,17
"145","1083713374",16,14
"146","1083714547",9,9
"147","1083753958",11,13
"148","1083780928",8,4
"149","1083787972",14,11
"150","1083795413",4,5
"151","1083866875",6,9
"152","1083870182",16,13
"153","1083893770",4,3
"154","1093724056",22,19
"155","1093725715",1,18
"156","1093733651",0,1
"157","1093751901",9,5
"158","1093766032",12,9
"159","1093770323",5,3
"160","1093771693",5,5
"161","1093775116",4,3
"162","1093790479",17,10
"163","1093790594",18,11
"164","1093792483",0,0
"165","1093792970",10,18
"166","1093796112",16,17
"167","1093809600",5,10
"168","1093809683",9,15
"169","1093816019",7,2
"170","1093840944",8,10
"171","1093884215",1,9
"172","1093935413",6,8
"173","1093979460",5,12
"174","1104008325",14,11
"175","1104036326",6,5
"176","1104083245",0,14
"177","1104137728",2,6
"178","1104800143",30,17
"179","1104800234",9,7
"180","1104817394",0,5
"181","1104818194",0,5
"182","1104818574",10,4
"183","1104827591",3,6
"184","1104851237",12,11
"185","1104854983",1,19
"186","1104875996",28,22
"187","1104907963",0,8
"188","1104923937",0,4
"189","1104944859",15,11
"190","1104982107",4,13
"191","1114000635",18,3
"192","1114001427",4,7
"193","1114048642",2,2
"194","1114079746",0,12
"195","1114097896",11,11
"196","1114140266",6,8
"197","1114151537",0,8
"198","1114176278",12,17
"199","1114190154",2,9
"200","1114902681",5,2
"201","1114906179",3,14
"202","1114921558",10,11
"203","1114947207",22,10
"204","1114952546",0,5
"205","1114962024",12,10
"206","1114977733",19,16
"207","1114999349",6,9
"208","1124001151",0,17
"209","1124002597",8,7
"210","1124012075",20,3
"211","1124015946",21,11
"212","1124017512",3,9
"213","1124039854",13,14
"214","1124050109",1,5
"215","1124055736",1,1
"216","1124056791",11,13
"217","1124068184",4,4
"218","1124074265",0,0
"219","1124076203",9,7
"220","1124093059",0,0
"221","1124112438",17,12
"222","1124127915",10,5
"223","1124216098",0,6
"224","1124229810",26,16
"225","1124289970",9,8
"226","1134101157",2,7
"227","1134104136",13,15
"228","1134114549",19,12
"229","1134124068",0,9
"230","1134128465",25,24
"231","1134151749",18,14
"232","1134155682",20,15
"233","1134188196",0,15
"234","1134198906",12,18
"235","1134200561",3,0
"236","1134210941",20,14
"237","1134219801",6,3
"238","1134224702",1,16
"239","1134237597",2,0
"240","1134279995",9,5
"241","1134289135",11,11
"242","1134387756",15,9
"243","1144224668",13,10
"244","1144225210",5,15
"245","1144243130",7,8
"246","1144248964",0,5
"247","1144251612",1,16
"248","1144253154",0,9
"249","1144258146",4,13
"250","1144262809",14,13
"251","1144281197",5,19
"252","1144282997",2,3
"253","1144324179",16,15
"254","1144325929",0,0
"255","1144332511",23,9
"256","1144344326",7,9
"257","1144387630",5,11
"258","1144397258",9,5
"259","1144398942",12,7
"260","1154311793",15,15
"261","1154326122",11,10
"262","1154327807",2,1
"263","1154350312",20,9
"264","1154366151",7,2
"265","1154369361",0,0
"266","1154371425",21,10
"267","1154382661",10,16
"268","1154397503",14,10
"269","1154399624",11,11
"270","1154405173",0,6
"271","1154434058",0,0
"272","1154437895",1,25
"273","1154438695",17,16
"274","1154495976",0,2
"275","1154581999",0,0
"276","1164401741",1,10
"277","1164419263",1,9
"278","1164423448",0,10
"279","1164423752",3,10
"280","1164435780",13,23
"281","1164441002",0,7
"282","1164476404",18,18
"283","1164502605",6,5
"284","1164521688",0,0
"285","1164523577",7,7
"286","1164530853",9,5
"287","1164535472",11,15
"288","1164596243",0,0
"289","1164625133",13,9
"290","1164697835",9,5
"291","1174502652",2,7
"292","1174521876",13,11
"293","1174524813",2,0
"294","1174543029",15,11
"295","1174548671",0,0
"296","1174549547",18,19
"297","1174551519",13,10
"298","1174558639",0,21
"299","1174566244",20,14
"300","1174568299",19,11
"301","1174597108",22,10
"302","1174599062",9,13
"303","1174604508",7,2
"304","1174627277",20,17
"305","1174634976",3,8
"306","1174691117",8,11
"307","1174695894",0,21
"308","1174796890",15,10
"309","1174797468",1,16
"310","1184618035",19,6
"311","1184623803",2,7
"312","1184627465",20,14
"313","1184628604",16,19
"314","1184629503",0,17
"315","1184634123",10,11
"316","1184640278",0,15
"317","1184652323",17,18
"318","1184660904",0,0
"319","1184682684",9,6
"320","1184691065",15,9
"321","1184702318",0,2
"322","1184710386",17,12
"323","1184724585",0,15
"324","1184732885",6,5
"325","1184784191",8,10
"326","1184814048",5,16
"327","1184884017",11,3
"328","1184886301",18,18
"329","1194718635",0,20
"330","1194739284",0,2
"331","1194779678",2,4
"332","1194792887",24,9
"333","1194821603",23,14
"334","1194828582",4,11
"335","1194886614",9,16
"336","1194900365",2,21
"337","1194915371",1,7
"338","1194988980",7,2
"339","1205097797",3,0
"340","1205808524",0,5
"341","1205815453",8,11
"342","1205816774",0,17
"343","1205829736",0,8
"344","1205831534",13,15
"345","1205844933",16,8
"346","1205878576",13,14
"347","1205889649",0,8
"348","1205896388",2,6
"349","1205921178",2,18
"350","1205937976",0,4
"351","1205982667",6,10
"352","1215021118",0,16
"353","1215092903",15,10
"354","1215095393",5,9
"355","1215143797",10,8
"356","1215192638",11,11
"357","1215903091",11,11
"358","1215918941",1,3
"359","1215919667",14,6
"360","1215931670",1,3
"361","1215939285",25,12
"362","1215956792",7,16
"363","1215965934",0,5
"364","1215967740",13,15
"365","1215981824",14,18
"366","1215990908",6,18
"367","1215991674",18,15
"368","1215995139",6,9
"369","1215999099",10,15
"370","1225005952",14,8
"371","1225007826",18,9
"372","1225010242",2,3
"373","1225022338",16,13
"374","1225033236",8,8
"375","1225039043",4,5
"376","1225060551",19,14
"377","1225063274",0,23
"378","1225070378",20,22
"379","1225079353",0,17
"380","1225091663",2,26
"381","1225107634",16,19
"382","1225200900",14,12
"383","1225215031",12,16
"384","1235111089",8,8
"385","1235114026",14,9
"386","1235129479",2,0
"387","1235142639",14,14
"388","1235157215",24,13
"389","1235167644",21,23
"390","1235174970",10,10
"391","1235195876",3,0
"392","1235195926",0,19
"393","1235198714",2,13
"394","1235201443",21,8
"395","1235201922",4,2
"396","1235210667",4,1
"397","1235218355",0,8
"398","1235226333",18,14
"399","1235227349",24,19
"400","1235242124",0,11
"401","1235247859",6,21
"402","1235248311",17,20
"403","1235293911",6,13
"404","1235304510",2,13
"405","1235314527",16,7
"406","1235394842",12,17
"407","1245201078",19,23
"408","1245201847",23,13
"409","1245214063",0,6
"410","1245220490",0,12
"411","1245228642",12,11
"412","1245231877",0,0
"413","1245248202",6,7
"414","1245263516",3,6
"415","1245271931",9,5
"416","1245282524",13,12
"417","1245291160",22,20
"418","1245343532",11,13
"419","1245378520",3,3
"420","1245411743",12,6
"421","1245534072",3,6
"422","1255321352",4,5
"423","1255334132",6,6
"424","1255335907",5,6
"425","1255350021",8,11
"426","1255367678",12,14
"427","1255393898",7,4
"428","1255415204",0,3
"429","1255443370",0,8
"430","1255453114",0,4
"431","1255481701",0,0
"432","1255481768",0,0
"433","1255539144",6,4
"434","1265400923",2,6
"435","1265403166",22,19
"436","1265416598",4,17
"437","1265452213",2,3
"438","1265455562",13,19
"439","1265477608",0,14
"440","1265488597",12,6
"441","1265492235",3,1
"442","1265500433",17,20
"443","1265516355",8,4
"444","1265549265",0,0
"445","1265682496",4,10
"446","1275504722",13,17
"447","1275510893",0,12
"448","1275514515",2,0
"449","1275526154",10,5
"450","1275537656",11,12
"451","1275547945",0,1
"452","1275549552",21,18
"453","1275562084",0,20
"454","1275563652",19,6
"455","1275576811",6,9
"456","1275640716",17,20
"457","1275645830",19,20
"458","1275706772",14,9
"459","1285604652",12,12
"460","1285613273",21,15
"461","1285623611",5,9
"462","1285637611",5,14
"463","1285664383",10,21
"464","1285669713",3,6
"465","1285687475",8,10
"466","1285698597",4,13
"467","1285699744",0,7
"468","1285720052",6,17
"469","1285737064",8,6
"470","1285770602",0,3
"471","1285779900",2,5
"472","1285828970",1,0
"473","1295703767",7,10
"474","1295729762",10,18
"475","1295730273",12,6
"476","1295744357",14,20
"477","1295750230",19,19
"478","1295760577",12,5
"479","1295783611",0,11
"480","1295787000",26,20
"481","1295795979",3,0
"482","1295854925",16,14
"483","1295860286",0,0
"484","1306817549",15,8
"485","1306840764",21,10
"486","1306841226",4,12
"487","1306844550",6,7
"488","1306890785",6,9
"489","1306891577",7,5
"490","1306892104",14,8
"491","1306915525",0,17
"492","1306918669",14,19
"493","1306932991",18,6
"494","1306939723",21,9
"495","1306952981",13,17
"496","1306967211",14,15
"497","1306993571",6,15
"498","1316007891",10,3
"499","1316028749",12,6
"500","1316037369",0,12
"501","1316048796",4,10
"502","1316051360",13,17
"503","1316082068",5,7
"504","1316142979",15,7
"505","1316150287",5,9
"506","1316910219",4,5
"507","1316917867",14,15
"508","1316921588",3,0
"509","1316929169",6,11
"510","1316942360",15,13
"511","1316948714",7,7
"512","1316953722",0,4
"513","1316954100",10,8
"514","1316957350",9,13
